Date,Open,High,Low,Close,Volume,Market Cap
"Jul 10, 2017",2525.25,2537.16,2321.13,2372.56,"1,111,200,000","41,509,000,000"
"Jul 09, 2017",2572.61,2635.49,2517.59,2518.44,"527,856,000","42,283,200,000"
"Jul 08, 2017",2520.27,2571.34,2492.31,2571.34,"733,330,000","41,417,700,000"
"Jul 07, 2017",2608.59,2916.14,2498.87,2518.66,"917,412,000","42,864,200,000"
"Jul 06, 2017",2608.10,2616.72,2581.69,2608.56,"761,957,000","42,851,400,000"
"Jul 05, 2017",2602.87,2622.65,2538.55,2601.99,"941,566,000","42,760,800,000"
"Jul 04, 2017",2561.00,2631.59,2559.35,2601.64,"985,516,000","42,067,900,000"
"Jul 03, 2017",2498.56,2595.00,2480.47,2564.06,"964,112,000","41,037,200,000"
"Jul 02, 2017",2436.40,2514.28,2394.84,2506.47,"803,747,000","40,010,500,000"
"Jul 01, 2017",2492.60,2515.27,2419.23,2434.55,"779,914,000","40,928,200,000"
"Jun 30, 2017",2539.24,2559.25,2478.43,2480.84,"860,273,000","41,689,100,000"
"Jun 29, 2017",2567.56,2588.83,2510.48,2539.32,"949,979,000","42,150,300,000"
"Jun 28, 2017",2553.03,2603.98,2484.42,2574.79,"1,183,870,000","41,906,700,000"
"Jun 27, 2017",2478.45,2552.45,2332.99,2552.45,"1,489,790,000","40,677,900,000"
"Jun 26, 2017",2590.57,2615.25,2376.29,2478.45,"1,663,280,000","42,514,000,000"
"Jun 25, 2017",2607.25,2682.26,2552.12,2589.41,"1,161,100,000","42,783,800,000"
"Jun 24, 2017",2738.52,2757.94,2583.19,2608.72,"982,750,000","44,932,900,000"
"Jun 23, 2017",2707.34,2765.17,2706.37,2744.91,"961,319,000","44,415,900,000"
"Jun 22, 2017",2691.03,2723.74,2642.36,2705.41,"1,097,940,000","44,143,700,000"
"Jun 21, 2017",2709.43,2772.01,2660.40,2689.10,"1,626,580,000","44,440,800,000"
"Jun 20, 2017",2591.26,2763.45,2589.82,2721.79,"1,854,190,000","42,498,000,000"
"Jun 19, 2017",2549.03,2662.85,2549.03,2589.60,"1,446,840,000","41,800,600,000"
"Jun 18, 2017",2655.35,2662.10,2516.33,2548.29,"1,178,660,000","43,539,300,000"
"Jun 17, 2017",2514.01,2685.19,2484.96,2655.88,"1,534,510,000","41,217,200,000"
"Jun 16, 2017",2469.57,2539.92,2385.15,2518.56,"1,195,190,000","40,484,100,000"
"Jun 15, 2017",2499.58,2534.71,2212.96,2464.58,"2,026,260,000","40,971,300,000"
"Jun 14, 2017",2716.88,2786.83,2412.94,2506.37,"1,696,560,000","44,528,300,000"
"Jun 13, 2017",2680.91,2789.04,2650.38,2717.02,"1,781,200,000","43,934,100,000"
"Jun 12, 2017",2953.22,2997.26,2518.56,2659.63,"2,569,530,000","48,391,200,000"
"Jun 11, 2017",2942.41,2996.60,2840.53,2958.11,"1,752,400,000","48,208,700,000"
"Jun 10, 2017",2828.14,2950.99,2746.55,2947.71,"2,018,890,000","46,331,400,000"
"Jun 09, 2017",2807.44,2901.71,2795.62,2823.81,"1,348,950,000","45,987,100,000"
"Jun 08, 2017",2720.49,2815.30,2670.95,2805.62,"1,281,170,000","44,557,100,000"
"Jun 07, 2017",2869.38,2869.38,2700.56,2732.16,"1,517,710,000","46,989,800,000"
